titulo,subtitulo,text,tags,urlRepo,urlDemo,urlOutro,urlImagem,entidades,autores
OCR para receitas médicas,Modelos de OCR para leitura de receitas médicas digitadas e manuscritas.,"Modelos de OCR (reconhecimento óptico de caracteres) especializados em receitas médicas, abrangendo tanto receitas digitadas quanto manuscritas. O projeto, em parceria com a Unimed, busca automatizar a leitura desses documentos — uma tarefa notoriamente difícil pela variabilidade caligráfica, jargão médico e formatos pouco padronizados.

A automação tem implicações concretas: reduz erros de digitação manual, agiliza a integração com sistemas de farmácia e prontuário eletrônico, e abre caminho para auditorias e análises agregadas que hoje são inviáveis pelo formato dos dados.

_Projeto ativo, em parceria com a Unimed._",Classificação;OCR;Saúde;Visão Computacional,,,,,ARIA,
Predição de Mercado de Opções (B3),"Modelo de IA que prevê movimentos no mercado de opções a partir da análise em larga escala de notícias financeiras, com uso de LLMs no pipeline.","Projeto de predição de valores no mercado de opções a partir da análise de notícias em larga escala. A solução combina treinamento de modelos de IA — incluindo LLMs — para extrair sinais de notícias financeiras e antecipar movimentos no mercado de derivativos.

A ideia central é que muito do que se reflete em preços de opções acontece primeiro em texto: notícias de empresa, anúncios regulatórios, comentários de analistas, atas de comitês. Capturar e processar esse fluxo em volume — algo inviável manualmente — abre uma janela para sinais que ainda não foram totalmente incorporados ao preço.

O pipeline cobre desde a coleta e normalização das notícias até o treinamento dos modelos preditivos, com avaliação contínua dos resultados frente ao mercado real.

---

Autores: Daniel Victor, João Fahning, Guilherme Huther, Tiago Trindade, Ralf, Victor",Finanças;Mercado de Opções;LLM,,,,,TRIL,
Processamento e análise de dados da Lotep,Sistema de captura e análise de dados das empresas vinculadas à Lotep.,"Construção de um sistema de captura, integração e análise de dados das empresas vinculadas à Lotep (Loteria do Estado da Paraíba). A solução cobre desde a coleta automatizada das informações operacionais e financeiras até dashboards e modelos preditivos que apoiam o monitoramento da atividade do setor de apostas regulado no estado.

Para a Lotep, o sistema viabiliza visão consolidada do mercado regulado, identificação de inconsistências e suporte à fiscalização — funções que historicamente dependiam de processos manuais ou planilhas dispersas.

_Projeto ativo, em parceria com a Lotep._",Apostas;Ciência de Dados;Governo;IA,,,,,ARIA,
Projeto de Leitura de Artigos,"Nesse semestre, a diretoria acadêmica fez leituras de artigos científicos focados em Inteligência Artificial e apresentou para o resto da liga acadêmica em uma rápida e resumida apresentação.","Iniciativa da Diretoria Acadêmica para que seus integrantes leiam artigos científicos relevantes em IA e os apresentem para o restante da liga. Cada apresentação é curta e objetiva, criando um fluxo regular de troca de conhecimento e expondo todos os membros a frentes de pesquisa que talvez não estivessem em seu radar.

_Projeto da diretoria de Aplicação — período(s): 2023.1 — 5 integrantes._

---

Autores: Victoria Grisi, Laís Silva, Gabriela Monteiro, Luiz Gusttavo, Maura Chaves",Aplicação;2023.1,,,https://voczie.notion.site/Acad-mica-2023-2-4abff4d0f7794292966b59ac60a68ff2,,TAIL,
Realidade Aumentada no Jardim Botânico,"Experiência de RA via navegador para a visitação do Jardim Botânico de João Pessoa — informações digitais sobre plantas, animais e trilhas sobrepostas ao ambiente real.","O Projeto de Realidade Aumentada tem como propósito integrar tecnologia e educação ambiental por meio de experiências interativas em Realidade Aumentada (RA). Desenvolvido como uma iniciativa de inovação tecnológica aplicada à sustentabilidade, o projeto busca enriquecer a visitação ao Jardim Botânico de João Pessoa, oferecendo uma forma dinâmica e acessível de aprendizado sobre a biodiversidade local.

Por meio de um navegador, os visitantes utilizam a câmera do celular para explorar o espaço natural, visualizando informações digitais sobre espécies de plantas, animais, trilhas ecológicas e pontos de interesse. O conteúdo digital inclui textos explicativos, imagens ilustrativas, modelos 3D de animais e animações educativas, que se sobrepõem ao ambiente real, proporcionando uma imersão educativa e envolvente.",Realidade Aumentada;Educação Ambiental;Web,,,,,CortechX,
Recomendação de filmes pelo IMDB,"O projeto serviu para aplicar alguns conceitos relacionados à atividades feitas, anteriormente, junto com os conhecimentos que foram adquiridos durante a execução do projeto como: colinearidade, di...","Sistema de recomendação de filmes construído sobre dados do IMDB, usado como projeto-laboratório para consolidar conceitos vistos ao longo do semestre: colinearidade entre features, distância euclidiana e clustering com KMeans, entre outras técnicas. O resultado é um pipeline que parte da exploração dos dados até a recomendação propriamente dita.

_Projeto da diretoria de Aplicação — período(s): 2022.2 — 8 integrantes._

---

Autores: Epitacio Pessoa, Jonas Oliveira, Ana Carolina Aguiar, Ana Carolina Moura, Felipe Arcela, Leo Jaime, Nicholas Gabriel, Tiago Trindade",Aplicação;2022.2,,,https://colab.research.google.com/drive/19KzB2VQt_VdA4L6MOAPszJssB8iZIK7O?usp=sharing,,TAIL,
Reconhecimento de anomalias no cérebro através de resultados de MRI utilizando Visão Computacional,Todos os membros foram treinados no uso de OpenCV para que desenvolvessem seus próprios modelos que os mesmos identificassem anomalias como tumores em resultados de exames de Ressonância Magnética.,"Projeto formativo em que todos os membros foram treinados em OpenCV para construir seus próprios modelos de visão computacional capazes de identificar anomalias — como tumores — em exames de Ressonância Magnética. O foco era duplo: produzir modelos funcionais e fortalecer a base técnica de cada integrante em processamento de imagens médicas.

_Projeto da diretoria de Aplicação — período(s): 2023.1 — 7 integrantes._

---

Autores: Victor Brasil, Frankley Kaiky, Anna Carolina, Cameron Maloney, Fernanda Fernandes, Leo Jaime, Vitor Zimbrunes",Aplicação;2023.1,,,,,TAIL,
RodoviARIA,"Utilizando dados da PRF disponibilizados pelo governo, criar um sistema para auxiliar com a diminuição dos problemas enfrentados no trânsito do Brasil.","Projeto que utiliza dados abertos da Polícia Rodoviária Federal para construir um sistema voltado a reduzir os problemas enfrentados no trânsito brasileiro. A análise busca padrões em ocorrências (locais, horários, condições) que podem orientar políticas públicas, fiscalização e ações educativas.

_Projeto da diretoria de Aplicação — período(s): 2023.1 — 7 integrantes._

---

Autores: Caio Chacon, Davi Ribeiro, Arthur Ramón, Ciro Gomes, Guilherme Iram, Guilherme Pujoni, Rafael Guilherme",Aplicação;2023.1,,,,,TAIL,
SenseApp,IA para análise de sentimentos em comentários da Play Store — feedback real sobre a percepção dos clientes.,"SenseApp é uma aplicação que usa inteligência artificial para analisar sentimentos e oferecer insights sobre a percepção dos clientes. Combinando modelos de machine learning e técnicas de web scraping, o SenseApp coleta comentários de aplicativos na Play Store, identifica os sentimentos expressos (positivos, negativos ou neutros) e fornece um feedback real sobre a recepção do produto.

A solução permite que empresas compreendam melhor as emoções dos usuários, ajustem suas estratégias e melhorem a experiência do cliente de forma precisa, sem depender só de notas estreladas que escondem nuances importantes.",NLP;Análise de Sentimento;Play Store,,,,,CortechX,
SummarAIzer,"Esse projeto teve como objetivo sumarizar textos, com o intuito de reduzir a quantidade de palavras para transformar em Glosa e de Glosa para Libras.","Projeto de sumarização de textos com aplicação direta na acessibilidade: reduzir um texto extenso para uma versão objetiva que possa ser convertida em Glosa e, dessa, para Libras. A redução do volume textual diminui o custo computacional da tradução automática para Libras e torna o processo mais ágil para o usuário surdo.

_Projeto da diretoria de Aplicação — período(s): 2023.2 — 7 integrantes._

---

Autores: Tales Nobre, Maria Eduarda Donato, Beatriz Barreto, Daniel Moreira, Erlon Lacerda, Joyce Ribeiro, Maria Eduarda Bandeira",Aplicação;2023.2,https://github.com/TailUFPB/summaraizer,,,,TAIL,
TAIL Website e Sistema de Cadastro de Dados,"Desenvolvimento do Website da TAIL conectado ao banco de dados atualizado, além do desenvolvimento de uma interface de cadastro completo de membros, projetos, rotações e outros dados de utilidade.","Desenvolvimento do site institucional da TAIL conectado ao banco de dados atualizado e construção de uma interface de cadastro completa: membros, projetos, rotações e demais dados úteis para a operação da liga. O resultado dá autonomia para a equipe gerir as informações sem precisar editar arquivos manualmente.

_Projeto da diretoria de Aplicação — período(s): 2024.1 — 6 integrantes._

---

Autores: Joaquim Breno, Tiago Trindade, Ana Luísa Londres, Bruna Gabriela Soares de Lima, Maria Eduarda Donato, Raphael Nascimento",Aplicação;2024.1,,,,,TAIL,
TailDb,Visualização e ETL de dados da liga acadêmica,"Pipeline de visualização e ETL dos dados da própria liga acadêmica. O TailDb organiza informações sobre membros, projetos e rotações em uma estrutura consultável, facilitando análises internas e a manutenção dos registros históricos da TAIL.

_Projeto da diretoria de Aplicação — período(s): 2023.2 — 7 integrantes._

---

Autores: Joaquim Breno, Êmilly Eduarda, Adriel Ferreira Trajano, Deivison Rodrigues, Fernanda Azevedo, Gabriel Belo, Lucas Bitu",Aplicação;2023.2,https://github.com/TailUFPB/LigaAcademica_ETL,,,,TAIL,
Turmalina,Sistema de avaliação automática de portais de transparência dos municípios da Paraíba.,"Sistema de avaliação automática dos portais de transparência dos municípios da Paraíba, em parceria com o TCE-PB. A solução combina web scraping com regras e modelos para verificar, periodicamente, se cada portal cumpre os critérios legais de transparência ativa: dados orçamentários, contratos, licitações, folha de pagamento, entre outros.

Em vez de depender de auditorias manuais ad hoc, o TCE passa a contar com monitoramento contínuo da conformidade dos portais — e os municípios recebem feedback claro sobre exatamente quais itens precisam ser corrigidos.

_Projeto concluído, em parceria com o TCE-PB._",Ciência de Dados;Governo;Transparência;Web Scraping,,,,,ARIA,
Visão computacional para contagem de compressas em cirurgias,"Modelos para detecção, rastreamento e contagem de compressas em vídeos de cirurgias.","Pesquisa e desenvolvimento de modelos para detecção, rastreamento e contagem de compressas em vídeos de cirurgias, em parceria com a DHauz. A motivação é direta e crítica: garantir que nenhuma compressa cirúrgica seja deixada inadvertidamente dentro do paciente — um erro raro porém grave que ainda hoje depende, em muitos hospitais, da contagem manual da equipe.

A automação por visão computacional adiciona uma camada de verificação independente ao protocolo cirúrgico, particularmente útil em procedimentos longos ou com múltiplas equipes. A combinação de detecção, tracking ao longo do tempo e contagem agregada exige modelos robustos a oclusão, mudanças de iluminação e movimento — desafios técnicos típicos de visão computacional aplicada à cirurgia.

_Projeto ativo, em parceria com a DHauz._",Medicina;Saúde;Vídeo;Visão Computacional,,,,,ARIA,
VLIBRAS,Suíte gratuita e open-source de tradução automática de conteúdo digital em português para Libras — desenvolvida pelo LAVID e adotada em praticamente todos os sites do governo federal brasileiro.,"## Sobre o projeto

VLIBRAS é uma suíte de ferramentas gratuitas e de código aberto, desenvolvida pelo LAVID, que faz a tradução automática de conteúdo digital em português para a Língua Brasileira de Sinais (Libras). O sistema permite que pessoas surdas acessem textos, áudio e vídeo em português sem barreira linguística — a tradução é feita em tempo real, com um avatar 3D que sinaliza o conteúdo na tela.

## Onde funciona

A solução está disponível em três frentes:

- **Plugin para sites** — qualquer página da web pode integrar o VLIBRAS e oferecer tradução automática de seu conteúdo aos visitantes surdos.
- **Aplicativo móvel** (Android e iOS) — funciona como assistente de tradução em qualquer texto digitado ou capturado pelo telefone.
- **Aplicativo desktop** — para tradução em ambiente de computador.

A ferramenta hoje está presente em praticamente todos os sites do governo federal brasileiro e se tornou referência de acessibilidade digital institucional no país.

## Avatares e tradução

A tradução é executada por três personagens — **Guga**, **Ícaro** e **Hozana** — que sinalizam o conteúdo. A escolha por avatares 3D, em vez de vídeos pré-gravados de intérpretes humanos, foi central para viabilizar o serviço em larga escala: avatares conseguem traduzir conteúdo dinâmico em tempo real, sem custo marginal por nova frase.

## Parceria institucional

O projeto é fruto de uma parceria envolvendo:

- Universidade Federal da Paraíba (UFPB), via LAVID
- Ministério da Gestão e Inovação em Serviços Públicos (MGISP)
- Secretaria de Governo Digital (SGD)
- Ministério dos Direitos Humanos e da Cidadania (MDHC)
- Câmara dos Deputados
- Rede Nacional de Ensino e Pesquisa (RNP)

A combinação de pesquisa acadêmica (no LAVID) com a operação institucional do governo digital é o que sustenta a ampla adoção do VLIBRAS hoje.

## Impacto

O VLIBRAS é hoje uma das maiores iniciativas de acessibilidade digital pública do Brasil. A combinação de gratuidade, código aberto e adoção institucional permitiu que serviços de governo, sites públicos e plataformas digitais oferecessem acesso direto em Libras sem precisar contratar intérpretes humanos para cada novo conteúdo.

## Saiba mais

Página oficial: https://www.gov.br/governodigital/pt-br/vlibras/",Acessibilidade;Libras;Open Source;Governo,,,https://www.gov.br/governodigital/pt-br/vlibras/,,LAVID,
ZoomAI,Nosso projeto desenvolve um site para criar artes de zoom infinito usando StableDiffusion.,"Site para a criação de zoom arts — animações de zoom ""infinito"" construídas a partir de imagens geradas por StableDiffusion. O usuário escolhe um tema/prompt e o sistema gera o conjunto de quadros que, encadeados, produzem o efeito de zoom contínuo que se aprofunda em novos cenários.

_Projeto da diretoria de Aplicação — período(s): 2024.1 — 6 integrantes._

---

Autores: Frankley Kaiky, Pedro Luca Vaz, Allejandro Sousa, Fernanda Azevedo, João Victor Dantas, Maria da Penha Santos",Aplicação;2024.1,,,,,TAIL,
